studentnum,course.id,ctar_q1_1,ctar_q2_1,ctar_q3_1,ctar_q4_1,ctar_q5_1,ctar_q6_1,ctar_q7_1,ctar_q8_1,ctar_q9_1,ctar_q10_1,ctar_q11_1,ctar_q12_1,ctar_q13_1,ctar_q14_1,ctar_q15_1,ctar_q16_1,ctar_q17_1,gender,class
2,GC1_A_2017_2,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Male,Non-Matriculated
3,GC1_A_2016_4,Quite typical of me,Quite typical of me,Quite typical of me,Very typical of me,Only somewhat typical of me,Not at all typical of me,Quite typical of me,Not at all typical of me,Only somewhat typical of me,Very typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Female,Freshman
4,GC1_B_2016_4,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Quite typical of me,Not at all typical of me,Not at all typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Female,Freshman
6,GC1_A_2018_2,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Female,Non-Matriculated
10,GC1_A_2018_2,Quite typical of me,Quite typical of me,Only somewhat typical of me,Quite typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Very typical of me,Quite typical of me,Not at all typical of me,Only somewhat typical of me,Quite typical of me,Female,Sophomore
11,GC1_B_2017_4,Very typical of me,Very typical of me,Very typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Very typical of me,Quite typical of me,Very typical of me,Quite typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Only somewhat typical of me,Very typical of me,Quite typical of me,Female,Freshman
17,GC1_C_2017_1,Only somewhat typical of me,Not at all typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Very typical of me,Quite typical of me,Quite typical of me,Not at all typical of me,Not at all typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Female,Junior
18,GC1_B_2016_4,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Male,Freshman
20,GC1_C_2018_1,Quite typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Quite typical of me,Very typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Quite typical of me,Female,Freshman
22,GC1_C_2017_1,Quite typical of me,Quite typical of me,Only somewhat typical of me,Quite typical of me,Not at all typical of me,Only somewhat typical of me,Not at all typical of me,Only somewhat typical of me,Very typical of me,Very typical of me,Only somewhat typical of me,Only somewhat typical of me,Quite typical of me,Quite typical of me,Only somewhat typical of me,Only somewhat typical of me,Only somewhat typical of me,Male,Sophomore
